Date,Open,High,Low,Close,Volume
11-Sep-97,48.27,48.9542,48.0212,48.7676,5877300
10-Sep-97,49.7629,49.794,47.8346,48.27,8581400
9-Sep-97,51.2558,51.7534,49.7629,49.7629,5766100
8-Sep-97,51.7223,51.9089,51.0692,51.1936,2583200
5-Sep-97,52.2199,52.3754,51.5357,51.5668,2683200
4-Sep-97,51.5357,52.0333,51.2558,51.629,2513700
3-Sep-97,51.6601,52.3132,51.5046,51.5357,3510300
2-Sep-97,50.4471,51.9089,50.3849,51.7845,4543300
29-Aug-97,50.0428,51.1936,49.9962,50.4471,3756000
28-Aug-97,51.1314,51.6912,50.2605,50.3227,2850000
27-Aug-97,51.3491,52.1577,51.007,51.6912,2773500
26-Aug-97,51.4424,51.94,51.2869,51.4113,2988500
25-Aug-97,52.9353,53.2463,52.0022,52.251,2489800
